Lines,Lon,VehicleNumber,Time,Lat
225,21.115596,1000,2024-02-13 18:12:18,52.234521
213,21.1202373,1001,2024-02-13 19:29:36,52.2149451
225,21.1156568,1002,2024-02-13 18:43:11,52.2345381
213,21.133656,1003,2024-02-13 19:29:40,52.2142636
213,21.2107435,1004,2024-02-13 19:29:39,52.160775
213,21.2226576,1005,2024-02-13 19:29:34,52.160824
219,21.1661545,1006,2024-02-13 19:29:38,52.2038123
225,21.1141686,1007,2024-02-13 15:10:57,52.2346921
L-8,21.0401536,10071,2024-02-13 19:29:38,52.3770371
L31,21.1798425,10072,2024-02-13 19:29:42,52.4187751
L49,20.9226815,10073,2024-02-13 19:29:40,52.3760655
L24,21.0224251,10074,2024-02-13 19:29:38,52.0682365
L-8,21.0804684,10075,2024-02-13 19:24:19,52.429149
213,21.1020563,1008,2024-02-13 19:29:40,52.2226031
311,21.0877488,1009,2024-02-13 19:29:38,52.2279368
119,21.116405,1010,2024-02-13 13:33:38,52.235039
213,21.115073,1011,2024-02-13 13:53:42,52.234709
219,21.1597783,1012,2024-02-13 19:29:39,52.185435
225,21.115611,1013,2024-02-13 17:39:03,52.234524
219,21.1023778,1014,2024-02-13 19:29:42,52.2227765
163,20.995926,1020,2024-02-13 19:24:23,52.188526
263,21.1017587,1021,2024-02-13 19:29:40,52.1612454
339,20.996383,1022,2024-02-13 19:29:25,52.186745
239,21.015318,1023,2024-02-13 19:29:37,52.148109
192,21.018007,1024,2024-02-13 19:29:37,52.167057
108,21.044004,1025,2024-02-13 19:29:40,52.176361
108,21.0235989,1026,2024-02-13 19:29:40,52.228209
208,20.975544,1027,2024-02-13 19:29:36,52.210327
108,21.024689,1028,2024-02-13 19:29:38,52.18956
108,21.064072,1029,2024-02-13 19:29:39,52.186558
163,20.995796,1030,2024-02-13 19:19:52,52.188503
339,21.0688242,1031,2024-02-13 19:29:40,52.1288759
339,20.995953,1032,2024-02-12 06:33:42,52.187172
192,20.9960667,1034,2024-02-13 19:29:41,52.1880439
208,20.975626,1035,2024-02-13 19:29:39,52.2104
200,21.017423,1036,2024-02-13 19:28:56,52.216605
339,20.997892,1037,2024-02-13 19:29:36,52.186352
