BusStopID,BusStopNr,Line,ArrivalTime
R-01,00,1,04:07:00
R-01,00,1,04:27:00
R-01,00,1,04:32:00
R-01,00,1,04:52:00
R-01,00,1,06:31:00
R-01,00,1,06:44:00
R-01,00,1,14:41:00
R-01,00,6,04:09:00
R-01,00,6,04:19:00
R-01,00,6,04:38:00
R-01,00,6,04:47:00
R-01,00,6,06:21:00
R-01,00,9,04:58:00
R-01,00,9,05:13:00
R-01,00,9,05:40:00
R-01,00,9,06:18:00
R-01,00,9,06:20:00
R-01,00,9,13:46:00
R-01,00,20,04:05:00
R-01,00,20,04:25:00
R-01,00,20,04:35:00
R-01,00,20,04:38:00
R-01,00,20,04:54:00
R-01,00,20,05:07:00
R-01,00,20,05:45:00
R-01,00,20,06:00:00
R-01,00,20,06:25:00
R-01,00,20,06:48:00
R-01,00,20,07:04:00
R-01,00,20,13:52:00
R-01,00,20,14:16:00
R-01,00,20,14:40:00
R-01,00,22,04:52:00
R-01,00,22,05:18:00
R-01,00,22,06:43:00
R-01,00,22,14:55:00
R-01,00,23,04:06:00
R-01,00,23,04:13:00
R-01,00,23,04:23:00
R-01,00,23,04:30:00
R-01,00,23,04:46:00
R-01,00,23,05:20:00
R-01,00,23,05:39:00
R-01,00,23,06:00:00
R-01,00,23,06:12:00
R-01,00,23,06:37:00
R-01,00,23,07:01:00
R-01,00,23,14:06:00
R-01,00,23,14:12:00
R-01,00,23,14:36:00
R-01,00,24,04:38:00
R-01,00,24,04:43:00
R-01,00,24,04:52:00
R-01,00,24,04:57:00
R-01,00,24,05:31:00
R-01,00,24,06:18:00
R-01,00,24,06:25:00
R-01,00,24,14:24:00
R-01,00,24,14:31:00
R-01,00,26,03:52:00
R-01,00,26,04:02:00
R-01,00,26,04:13:00
R-01,00,26,04:22:00
R-01,00,26,04:33:00
R-01,00,26,05:11:00
R-01,00,26,05:51:00
R-01,00,26,06:01:00
R-01,00,26,06:41:00
R-01,00,26,14:17:00
R-01,00,26,14:27:00
R-01,00,26,14:41:00
R-01,00,26,14:51:00
R-01,00,28,05:04:00
R-01,00,28,05:22:00
R-01,00,28,14:24:00
R-01,00,28,14:48:00
R-01,00,35,04:21:00
R-01,00,35,04:23:00
R-01,00,35,04:30:00
R-01,00,35,04:41:00
R-01,00,35,04:42:00
R-01,00,35,05:02:00
R-01,00,35,05:21:00
R-01,00,35,05:42:00
R-01,00,35,05:57:00
R-01,00,35,06:01:00
R-01,00,35,06:16:00
R-01,00,35,06:20:00
R-01,00,35,06:42:00
R-01,00,35,13:54:00
R-01,00,35,13:57:00
R-01,00,35,14:29:00
R-01,00,35,14:33:00
R-01,00,73,05:04:00
R-01,00,73,05:16:00
R-01,00,73,05:28:00
R-01,00,73,05:29:00
R-01,00,73,06:20:00
R-01,00,73,06:31:00
R-01,00,73,14:09:00
R-01,00,73,14:20:00
R-01,00,73,14:22:00
