BusStopID,BusStopNr,Line,ArrivalTime
2395,01,115,04:57:00
2395,01,115,05:27:00
2395,01,115,05:57:00
2395,01,115,06:17:00
2395,01,115,06:45:00
2395,01,115,07:14:00
2395,01,115,07:44:00
2395,01,115,08:14:00
2395,01,115,08:45:00
2395,01,115,09:15:00
2395,01,115,09:45:00
2395,01,115,10:15:00
2395,01,115,10:45:00
2395,01,115,11:15:00
2395,01,115,11:45:00
2395,01,115,12:15:00
2395,01,115,12:45:00
2395,01,115,13:15:00
2395,01,115,13:45:00
2395,01,115,14:15:00
2395,01,115,14:45:00
2395,01,115,15:15:00
2395,01,115,15:45:00
2395,01,115,16:15:00
2395,01,115,16:45:00
2395,01,115,17:15:00
2395,01,115,17:45:00
2395,01,115,18:15:00
2395,01,115,18:46:00
2395,01,115,19:17:00
2395,01,115,19:32:00
2395,01,115,19:52:00
2395,01,115,20:22:00
2395,01,115,20:52:00
2395,01,115,21:22:00
2395,01,115,21:52:00
2395,01,115,22:22:00
2395,01,115,22:52:00
2395,01,115,23:22:00
2395,02,115,04:53:00
2395,02,115,05:23:00
2395,02,115,05:54:00
2395,02,115,06:26:00
2395,02,115,06:47:00
2395,02,115,07:08:00
2395,02,115,07:41:00
2395,02,115,08:14:00
2395,02,115,08:44:00
2395,02,115,09:11:00
2395,02,115,09:38:00
2395,02,115,10:06:00
2395,02,115,10:36:00
2395,02,115,11:06:00
2395,02,115,11:36:00
2395,02,115,12:06:00
2395,02,115,12:36:00
2395,02,115,13:07:00
2395,02,115,13:37:00
2395,02,115,14:07:00
2395,02,115,14:37:00
2395,02,115,15:07:00
2395,02,115,15:39:00
2395,02,115,16:10:00
2395,02,115,16:40:00
2395,02,115,17:10:00
2395,02,115,17:40:00
2395,02,115,18:09:00
2395,02,115,18:39:00
2395,02,115,19:07:00
2395,02,115,19:37:00
2395,02,115,20:05:00
2395,02,115,20:28:00
2395,02,115,20:58:00
2395,02,115,21:27:00
2395,02,115,21:55:00
2395,02,115,22:24:00
2395,02,115,22:54:00
2395,02,115,23:29:00
