BusStopID,BusStopNr,Line,ArrivalTime
2196,02,142,04:43:00
2196,02,142,05:13:00
2196,02,142,05:43:00
2196,02,142,06:14:00
2196,02,142,06:46:00
2196,02,142,07:16:00
2196,02,142,07:46:00
2196,02,142,08:16:00
2196,02,142,08:46:00
2196,02,142,09:16:00
2196,02,142,09:46:00
2196,02,142,10:16:00
2196,02,142,10:46:00
2196,02,142,11:16:00
2196,02,142,11:46:00
2196,02,142,12:16:00
2196,02,142,12:46:00
2196,02,142,13:16:00
2196,02,142,13:46:00
2196,02,142,14:16:00
2196,02,142,14:46:00
2196,02,142,15:16:00
2196,02,142,15:46:00
2196,02,142,16:16:00
2196,02,142,16:46:00
2196,02,142,17:16:00
2196,02,142,17:46:00
2196,02,142,18:16:00
2196,02,142,18:46:00
2196,02,142,19:16:00
2196,02,142,19:46:00
2196,02,142,20:16:00
2196,02,142,20:46:00
2196,02,142,21:14:00
2196,02,142,21:43:00
2196,02,142,22:13:00
2196,02,142,22:43:00
2196,02,142,23:23:00
2196,02,702,04:55:00
2196,02,702,05:55:00
2196,02,702,07:08:00
2196,02,702,08:08:00
2196,02,702,09:07:00
2196,02,702,10:36:00
2196,02,702,12:06:00
2196,02,702,13:36:00
2196,02,702,15:06:00
2196,02,702,16:10:00
2196,02,702,17:10:00
2196,02,702,18:10:00
2196,02,702,19:10:00
2196,02,702,20:10:00
2196,02,702,20:40:00
2196,02,702,21:27:00
2196,02,702,22:56:00
2196,02,N72,23:27:00
2196,02,N72,24:27:00
2196,02,N72,25:27:00
2196,02,N72,26:27:00
2196,02,N72,27:27:00
2196,02,N72,28:27:00
2196,01,142,05:22:00
2196,01,142,05:43:00
2196,01,142,06:04:00
2196,01,142,06:19:00
2196,01,142,06:35:00
2196,01,142,06:50:00
2196,01,142,07:05:00
2196,01,142,07:21:00
2196,01,142,07:36:00
2196,01,142,07:51:00
2196,01,142,08:06:00
2196,01,142,08:21:00
2196,01,142,08:36:00
2196,01,142,08:51:00
2196,01,142,09:06:00
2196,01,142,09:35:00
2196,01,142,10:05:00
2196,01,142,10:35:00
2196,01,142,11:05:00
2196,01,142,11:35:00
2196,01,142,12:05:00
2196,01,142,12:35:00
2196,01,142,13:05:00
2196,01,142,13:35:00
2196,01,142,14:05:00
2196,01,142,14:21:00
2196,01,142,14:36:00
2196,01,142,14:51:00
2196,01,142,15:06:00
2196,01,142,15:25:00
2196,01,142,15:40:00
2196,01,142,15:55:00
2196,01,142,16:10:00
2196,01,142,16:25:00
2196,01,142,16:40:00
2196,01,142,16:55:00
2196,01,142,17:10:00
2196,01,142,17:25:00
2196,01,142,17:40:00
2196,01,142,17:55:00
2196,01,142,18:10:00
2196,01,142,18:24:00
2196,01,142,18:39:00
2196,01,142,19:09:00
2196,01,142,19:39:00
2196,01,142,20:08:00
2196,01,142,20:37:00
2196,01,142,21:02:00
2196,01,142,21:32:00
2196,01,142,22:02:00
2196,01,142,22:32:00
2196,01,142,23:02:00
2196,01,142,23:31:00
2196,01,702,04:34:00
2196,01,702,05:44:00
2196,01,702,06:45:00
2196,01,702,07:46:00
2196,01,702,08:46:00
2196,01,702,10:15:00
2196,01,702,11:45:00
2196,01,702,13:15:00
2196,01,702,14:46:00
2196,01,702,15:47:00
2196,01,702,16:17:00
2196,01,702,17:17:00
2196,01,702,18:17:00
2196,01,702,19:16:00
2196,01,702,20:15:00
2196,01,702,21:14:00
2196,01,702,23:14:00
2196,01,N72,23:50:00
2196,01,N72,24:50:00
2196,01,N72,25:49:00
2196,01,N72,26:49:00
2196,01,N72,27:49:00
2196,01,N72,28:49:00
