Latitude,Longitude,Velocity
52.3023605,20.8080585,16.81759431692649
52.3035453,20.8087693,17.058910320310527
52.3049913,20.809696,19.084480344241328
52.3063978,20.8104861,17.926174657868593
52.3078945,20.81093,15.770352437699175
52.3093436,20.811727,18.377178021461468
52.3112523,20.8129821,16.922719007761092
52.2940533,20.8066583,15.661205415836424
52.2938293,20.8083335,17.073181619859568
52.2929858,20.8134408,16.86725776096926
52.292139,20.8176238,14.371021070084307
52.2662491,20.8272681,20.01016709486895
52.2652478,20.8257745,18.164863086375263
52.2643966,20.8245041,16.99248842104429
52.2630376,20.8270101,17.969229380110818
52.2618756,20.829685,21.604621410143896
52.2604873,20.832611,18.940988000139555
52.2591388,20.834858,19.41328733057564
52.2582448,20.8363489,19.317050462284076
52.2573093,20.8375516,15.392093457752027
52.2563206,20.8383805,14.336645814980306
52.2516375,20.84042,15.04512064371023
52.2524478,20.8388568,16.14370158642752
52.2584658,20.836001,17.22161671646945
52.2593713,20.8344831,19.640128083136034
52.2610788,20.831551,15.08141446446053
52.2633323,20.826345,19.621301289131107
52.2639926,20.8248368,18.294899287394006
52.2663711,20.827528,19.34608108585615
52.2672766,20.8290628,19.801637907461252
52.2683991,20.8302605,18.240244055313575
52.2697981,20.8318665,16.905251611782326
52.2709726,20.8332285,19.984598359168736
52.2722263,20.8342453,17.93700516595647
52.2736321,20.834824,16.893044560249656
52.2752011,20.8347618,15.862202368766072
52.2790851,20.8345871,17.281057776818887
52.2827373,20.8330228,19.240793572675802
52.2856931,20.8294003,17.317639900837047
52.2879806,20.8280633,16.00065972226401
52.289187,20.8274131,15.228553094621656
52.2907071,20.8245403,19.072480035133722
52.2908585,20.8225349,22.347420305886835
52.292193,20.8175163,22.194077813825757
52.2925083,20.8159125,16.511416503084632
52.2931111,20.8129486,20.05732547885501
52.2935933,20.8103613,18.278203141716027
52.3020001,20.807732,14.11762444092973
52.3059431,20.81011,15.302764189339376
52.3072993,20.8107423,15.115917770467547
52.308677,20.8112798,16.432854279622468
52.3113916,20.8130113,17.889237591144877
52.304087,20.8090518,14.32632621063228
52.294003,20.8066201,15.639239132290504
52.2937836,20.8085078,19.197568335895102
52.2932056,20.812342,13.949623522385687
52.2924248,20.8158978,20.226711118668288
52.2909245,20.8221478,16.55054073486071
52.2906808,20.8254061,24.204905797679828
52.2907415,20.8268448,16.001056909629224
52.2880793,20.8279821,14.99595487751731
52.286905,20.8288168,16.00939811185252
52.2851368,20.8299983,15.75393279826455
52.2840588,20.8313133,18.8946776356882
52.2830735,20.832542,17.50102881995098
52.2819911,20.8339173,17.679739882824496
52.2807045,20.8345018,15.702871246271314
52.2784213,20.8346421,16.945848706523215
52.2768688,20.8347433,17.287992639962887
52.2746585,20.8348483,15.367844606046482
52.2732703,20.8348705,15.42765076998107
52.2720171,20.8340758,16.489467919707625
52.2707663,20.8329076,19.01805694744422
52.2695043,20.83147,19.324167627338365
52.2679498,20.8297276,17.298002030881936
52.2662976,20.827348,16.261405890572
52.2654188,20.8260665,17.266673925818232
52.2645366,20.8247248,16.221002936117554
52.2627665,20.8276491,22.5682176973539
52.261894,20.8296803,22.33171292366655
52.2605843,20.8324763,22.872528516948353
52.099453,21.024723,14.51024585688016
52.099266,21.023319,15.739021266418948
52.098881,21.02191,14.755246930175419
52.098488,21.02055,15.730640308824835
52.105885,21.01878,14.11954512423631
52.1194287,21.0184096,14.344334516722041
52.131004,21.018131,17.59536340902929
52.1606982,21.0176031,15.207046772830846
52.1637052,21.0176597,13.92487610731061
52.1691514,21.0186701,14.540426913774901
52.184708,21.024086,14.953566573145476
52.189671,21.020536,16.82794020924271
52.189487,21.019222,14.743626719297847
52.1891224,21.0107109,20.453414655249446
52.1891077,21.0094022,18.17898970871931
52.1890634,21.0029056,18.331265929302898
52.1890422,21.0011864,15.921002346699131
52.1889936,20.9997357,14.662928977661409
52.224236,20.933374,18.00802711334998
52.224888,20.935627,17.37505774754441
52.226025,20.941843,17.81406097526794
52.228943,20.950165,18.45539028859849
52.230156,20.953596,16.437322072593005
52.23164,20.958582,15.662197196463564
52.232532,20.961441,15.866150042368252
52.233097,20.962723,16.56751501928497
52.232723,20.961309,14.77517219589502
52.224842,20.93475,15.801049103986411
52.224148,20.932331,18.642857172910844
52.223766,20.930916,14.805795562754476
52.225929,20.941292,20.350049719298248
52.226543,20.944841,17.199225966432092
52.228374,20.948946,14.072409237038658
52.228977,20.950275,16.21685904356172
52.230217,20.953783,18.57493699378307
52.231403,20.957939,16.593177943229964
52.232372,20.961121,15.194618849135006
52.232864,20.962526,15.03810616805423
52.232246,20.959908,15.895830168741403
52.2298955,20.9518589,15.90514655216064
52.226326,20.943296,15.117940402956078
52.225567,20.937405,14.252033357982254
52.224659,20.934212,17.17059498438945
52.224068,20.932182,23.493882202252998
52.225872,20.941025,19.656977943894212
52.226234,20.943722,20.158545552345633
52.226448,20.94467,17.99873419989129
52.227451,20.947002,18.805573873170378
52.228607,20.949533,18.199953307906764
52.229305,20.951027,18.323819402812934
52.230202,20.953745,18.315218954923022
52.231075,20.957048,14.234187094927256
52.231838,20.959335,17.860099590481504
52.232914,20.962564,23.853165110908513
52.233585,20.967157,13.994614440994221
52.232956,20.966206,16.047834336353695
52.233013,20.962622,15.513263932833127
52.232613,20.961145,21.25455497491037
52.23172,20.958168,14.925589001138576
52.268227,20.934347,17.59393176828662
52.267567,20.93787,26.552414322064912
52.266953,20.940308,25.397264744662472
52.265251,20.945538,19.714742253364058
52.26379,20.949341,19.68264734309374
52.262779,20.951828,22.94747360505536
52.26107,20.956215,22.55127494873744
52.25935,20.960478,21.283686980776427
52.256813,20.967047,24.65405995078726
52.256016,20.969149,24.98004539534643
52.255009,20.971947,25.418217009468563
52.254189,20.974224,26.892713635532527
52.253597,20.976515,18.781274243819933
52.253479,20.978245,19.268425881143706
52.255188,20.984941,17.02852275616437
52.257038,20.990932,27.869491823691565
52.257439,20.993177,25.341271089354795
52.2584,20.9967,22.991598038649943
52.258583,20.999128,27.056460458550315
52.258484,21.001219,15.507479784995665
52.256702,21.007666,15.965144489426786
52.255817,21.010485,14.381874105185084
52.254787,21.011744,15.062752749608324
52.254124,21.012413,20.93224751229108
52.25177,21.014826,24.97263610178157
52.248978,21.017817,22.733034457109063
52.247772,21.019176,18.354525503382206
52.245548,21.022669,18.405564733258
52.24456,21.024033,18.71519446256566
52.243683,21.025797,21.890428476162914
52.2431,21.0267,17.062442603935587
52.237907,21.033251,23.222958471717025
52.235645,21.035717,18.59210615022754
52.234093,21.036907,14.487904217662829
52.232243,21.039986,19.957366226589716
52.228149,21.042227,20.744847300067757
52.224804,21.043407,19.70730116985274
52.222748,21.044163,16.22786950277634
52.200523,21.050087,17.296482143557235
52.198051,21.050919,19.32197271550995
52.195694,21.053217,21.904792120416083
52.19371,21.055456,22.161409330564577
52.191685,21.057985,19.386800398794037
52.190285,21.05975,25.033402545845497
52.188152,21.062231,24.23791866153546
52.184387,21.066305,22.29848116050039
52.18063,21.070295,23.422528719892004
52.1796,21.071402,16.802097276745005
52.178734,21.072571,16.166020056833155
52.176102,21.076523,19.541621633068893
52.175064,21.077795,18.2434134426668
52.173336,21.079561,14.78790944839566
52.170177,21.082712,14.165728009631957
52.167534,21.078337,18.909816012271246
52.16795,21.076473,21.222325862643885
52.168804,21.072756,17.866869353440045
52.169296,21.070591,24.670864802359226
52.169579,21.069254,15.185913051690454
52.173302,21.064598,16.520864796946434
52.174355,21.063488,17.001392682317736
